120 1572269799 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269800 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269801 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269877 2359266,600000 -1,000000 -101,000000 0,000000 0,000000
120 1572269878 2359266,600000 -1,000000 -101,000000 0,000000 0,000000
120 1572269879 2359266,600000 -1,000000 -101,000000 0,000000 0,000000
120 1572269880 2359266,600000 -1,000000 -101,000000 0,000000 0,000000
120 1572269881 2359266,600000 -1,000000 -101,000000 0,000000 0,000000
120 1572269907 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269908 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269909 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269910 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269911 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269912 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269913 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269914 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269915 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269916 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269917 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269918 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269919 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269920 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269921 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269997 2359181,800000 -1,000000 -101,000000 0,000000 0,000000
120 1572269998 2359181,800000 -1,000000 -101,000000 0,000000 0,000000
120 1572269999 2359181,800000 -1,000000 -101,000000 0,000000 0,000000
120 1572270000 2359181,800000 -1,000000 -101,000000 0,000000 0,000000
120 1572270001 2359181,800000 -1,000000 -101,000000 0,000000 0,000000
